INFO:root:Episode 40 | Avg Reward: -2.93 | Epsilon: 0.740 | Win Rate: 63.41%
INFO:root:Episode 50 | Avg Reward: -2.55 | Epsilon: 0.669 | Win Rate: 62.75%
INFO:root:Episode 60 | Avg Reward: -3.44 | Epsilon: 0.605 | Win Rate: 59.02%
INFO:root:Episode 70 | Avg Reward: -3.38 | Epsilon: 0.547 | Win Rate: 57.75%
INFO:root:Episode 80 | Avg Reward: -4.44 | Epsilon: 0.495 | Win Rate: 55.56%
INFO:root:Episode 90 | Avg Reward: -7.91 | Epsilon: 0.448 | Win Rate: 53.85%
INFO:root:Episode 100 | Avg Reward: -7.00 | Epsilon: 0.405 | Win Rate: 55.00%
INFO:root:Episode 110 | Avg Reward: -5.10 | Epsilon: 0.366 | Win Rate: 58.00%
INFO:root:Episode 120 | Avg Reward: -4.00 | Epsilon: 0.331 | Win Rate: 59.00%
INFO:root:Episode 130 | Avg Reward: -3.30 | Epsilon: 0.299 | Win Rate: 61.00%
INFO:root:Episode 140 | Avg Reward: -5.50 | Epsilon: 0.271 | Win Rate: 63.00%
INFO:root:Episode 150 | Avg Reward: -5.00 | Epsilon: 0.245 | Win Rate: 64.00%
INFO:root:Episode 160 | Avg Reward: -3.50 | Epsilon: 0.221 | Win Rate: 67.00%
INFO:root:Episode 170 | Avg Reward: -3.00 | Epsilon: 0.200 | Win Rate: 69.00%
INFO:root:Episode 180 | Avg Reward: -1.40 | Epsilon: 0.181 | Win Rate: 73.00%
INFO:root:Episode 190 | Avg Reward: 1.10 | Epsilon: 0.164 | Win Rate: 76.00%
INFO:root:Episode 200 | Avg Reward: 0.60 | Epsilon: 0.148 | Win Rate: 75.00%
INFO:root:Episode 210 | Avg Reward: 0.20 | Epsilon: 0.134 | Win Rate: 75.00%
INFO:root:Episode 220 | Avg Reward: -0.40 | Epsilon: 0.121 | Win Rate: 73.00%
INFO:root:Episode 230 | Avg Reward: 1.10 | Epsilon: 0.110 | Win Rate: 74.00%
INFO:root:Episode 240 | Avg Reward: 4.10 | Epsilon: 0.099 | Win Rate: 73.00%
INFO:root:Episode 250 | Avg Reward: 2.60 | Epsilon: 0.090 | Win Rate: 73.00%
INFO:root:Episode 260 | Avg Reward: 1.60 | Epsilon: 0.081 | Win Rate: 73.00%
INFO:root:Episode 270 | Avg Reward: 1.50 | Epsilon: 0.073 | Win Rate: 73.00%
INFO:root:Episode 280 | Avg Reward: 1.20 | Epsilon: 0.066 | Win Rate: 72.00%
INFO:root:Episode 290 | Avg Reward: 3.00 | Epsilon: 0.060 | Win Rate: 74.00%
INFO:root:Episode 300 | Avg Reward: 2.00 | Epsilon: 0.054 | Win Rate: 72.00%
INFO:root:Episode 310 | Avg Reward: 2.80 | Epsilon: 0.049 | Win Rate: 71.00%
INFO:root:Episode 320 | Avg Reward: 4.30 | Epsilon: 0.044 | Win Rate: 76.00%
INFO:root:Episode 330 | Avg Reward: 2.30 | Epsilon: 0.040 | Win Rate: 75.00%
INFO:root:Episode 340 | Avg Reward: 1.60 | Epsilon: 0.036 | Win Rate: 77.00%
INFO:root:Episode 350 | Avg Reward: 3.40 | Epsilon: 0.033 | Win Rate: 79.00%
INFO:root:Episode 360 | Avg Reward: 4.70 | Epsilon: 0.030 | Win Rate: 81.00%
INFO:root:Episode 370 | Avg Reward: 5.00 | Epsilon: 0.027 | Win Rate: 83.00%
INFO:root:Episode 380 | Avg Reward: 5.90 | Epsilon: 0.024 | Win Rate: 86.00%
INFO:root:Episode 390 | Avg Reward: 5.50 | Epsilon: 0.022 | Win Rate: 86.00%
INFO:root:Episode 400 | Avg Reward: 7.70 | Epsilon: 0.020 | Win Rate: 92.00%
INFO:root:Episode 410 | Avg Reward: 6.60 | Epsilon: 0.018 | Win Rate: 94.00%
INFO:root:Episode 420 | Avg Reward: 7.60 | Epsilon: 0.016 | Win Rate: 94.00%
INFO:root:Episode 430 | Avg Reward: 8.80 | Epsilon: 0.015 | Win Rate: 95.00%
INFO:root:Episode 440 | Avg Reward: 9.90 | Epsilon: 0.013 | Win Rate: 96.00%
INFO:root:Episode 450 | Avg Reward: 8.80 | Epsilon: 0.012 | Win Rate: 96.00%
INFO:root:Episode 460 | Avg Reward: 8.10 | Epsilon: 0.011 | Win Rate: 96.00%
INFO:root:Episode 470 | Avg Reward: 7.80 | Epsilon: 0.010 | Win Rate: 96.00%
INFO:root:Episode 480 | Avg Reward: 8.30 | Epsilon: 0.010 | Win Rate: 96.00%
INFO:root:Episode 490 | Avg Reward: 8.90 | Epsilon: 0.010 | Win Rate: 96.00%
INFO:root:Episode 500 | Avg Reward: 8.30 | Epsilon: 0.010 | Win Rate: 95.00%
INFO:root:Episode 510 | Avg Reward: 8.30 | Epsilon: 0.010 | Win Rate: 95.00%
INFO:root:Episode 520 | Avg Reward: 5.60 | Epsilon: 0.010 | Win Rate: 93.00%
INFO:root:Episode 530 | Avg Reward: 5.10 | Epsilon: 0.010 | Win Rate: 93.00%
INFO:root:Episode 540 | Avg Reward: 4.80 | Epsilon: 0.010 | Win Rate: 92.00%
INFO:root:Episode 550 | Avg Reward: 4.30 | Epsilon: 0.010 | Win Rate: 92.00%
INFO:root:Episode 560 | Avg Reward: 5.60 | Epsilon: 0.010 | Win Rate: 93.00%
INFO:root:Episode 570 | Avg Reward: 7.00 | Epsilon: 0.010 | Win Rate: 94.00%
INFO:root:Episode 580 | Avg Reward: 6.60 | Epsilon: 0.010 | Win Rate: 94.00%
INFO:root:Episode 590 | Avg Reward: 7.20 | Epsilon: 0.010 | Win Rate: 95.00%
INFO:root:Episode 600 | Avg Reward: 7.80 | Epsilon: 0.010 | Win Rate: 96.00%
INFO:root:Episode 610 | Avg Reward: 5.90 | Epsilon: 0.010 | Win Rate: 95.00%
